Утеплитель минераловатный жесткий,м,7504,9725,8366,4919,7705,2,6,2,A nullo diligitur qui neminem diligit — никто не любит того кто сам никого не любит,товар доставляется к кораблю заказчика.,Завод резиновой обуви Треугольник,A nullo diligitur qui neminem diligit — никто не любит того кто сам никого не любит,5,4,4.7.2011,16.7.2011,40,36,18
Утеплитель светопрозрачный,км,5366,1883,9781,4093,6109,3,5,10,А pedibus usque ad caput — с ног до головы,товар со склада продавца.,Здравый промысел,А pedibus usque ad caput — с ног до головы,5,2,13.7.2011,11.8.2011,5,6,26
Фольгоизол,шт,1622,9716,5857,8177,8348,4,6,1,A potiori fit denominatio — Заглавие наименование делается по главному предмету или основной идее сочинения,товар доставляется перевозчику заказчика.,Золотой жук,A potiori fit denominatio — Заглавие наименование делается по главному предмету или основной идее сочинения,6,3,29.6.2011,28.7.2011,6,17,27
Пенопласты,л,8154,8355,3095,6420,791,3,10,2,А posteriori — исходя из опыта на основании опыта,товар доставляется к кораблю заказчика.,Ивспецпошив,А posteriori — исходя из опыта на основании опыта,6,3,29.6.2011,12.7.2011,11,30,28
Пароизоляционная пленка,кг,5501,9582,7346,7470,8863,2,8,9,A posse ad esse non valet consequential — Из возможности какого-либо действия или факта нельзя еще заключать что данное действие или данный факт действительно имел место,товар погружается на корабль заказчика.,Иваново,A posse ad esse non valet consequential — Из возможности какого-либо действия или факта нельзя еще заключать что данное действие или данный факт действительно имел место,5,1,12.7.2011,7.8.2011,10,1,18
Теплоизоляция с алюминиевой фольгой,м,4001,4540,7190,3485,118,5,6,2,А prima facie — на первый взгляд,товар доставляется до порта заказчика (без выгрузки).,Илим Гофра,А prima facie — на первый взгляд,6,4,13.7.2011,31.7.2011,11,8,29
Звукоизоляционные материалы для пола,км,7757,9659,2847,4742,2888,1,5,8,А priori — заранее до опыта без проверки независимо от опыта,товар страхуется и доставляется до порта заказчика (без выгрузки).,Санкт-Петербург,А priori — заранее до опыта без проверки независимо от опыта,6,2,9.7.2011,31.7.2011,2,18,20
Звукопоглотители звукопоглощающие материалы,шт,9684,6047,6556,5943,5617,3,3,3,Ab imo pectore — с полной искренностью от души,товар доставляется перевозчику заказчика в указанном месте назначения,Ильма,Ab imo pectore — с полной искренностью от души,5,2,9.7.2011,31.7.2011,19,17,28
Ветрозащитные пленки и материалы,л,3016,98,3267,7386,2699,4,9,7,Barbarus hic ego sum quia non intelligorulli — Я здесь варвар (чужой) потому что меня никто не понимает,товар страхуется и доставляется перевозчику заказчика в указанном месте назначения,Имидж Веар,Barbarus hic ego sum quia non intelligorulli — Я здесь варвар (чужой) потому что меня никто не понимает,6,2,30.6.2011,15.7.2011,16,37,40
Гидроизоляция бассейнов,кг,6548,7888,7446,8299,9128,1,7,5,Barba crescit caput nescit — Борода растет а голова глупеет,Поставка в месте назначения,Императорский фарфоровый завод,Barba crescit caput nescit — Борода растет а голова глупеет,5,3,29.6.2011,23.7.2011,15,28,37
Связи и элементы облицовки стен,м,7784,658,3907,969,6293,2,2,6,Barba philosophum non facit — Борода не делает философом,Поставка на терминале. Экспортные платежи лежат на продавцеа импортные на покупателе.Терминал находится на границенужно указать название терминала.,ИП Капитонова Олеся Александровна,Barba philosophum non facit — Борода не делает философом,5,4,18.7.2011,30.7.2011,23,35,2
Термоизолирующее покрытие,км,2787,8310,3551,5584,1035,2,2,9,Beata stultica — блаженная глупость,товар доставляется заказчику очищенный от пошлин и рисков,Санкт-Петербург,Beata stultica — блаженная глупость,5,4,28.6.2011,24.7.2011,10,39,18
 Двери входные деревянные,шт,4101,7348,9130,4432,2216,1,9,7,Beata solitudo — Благословенное одиночество,товар со склада продавца.,Исполать,Beata solitudo — Благословенное одиночество,6,3,30.6.2011,22.7.2011,36,4,18
Двери входные стальные,л,8846,9653,6584,9780,795,1,8,6,Beatae memoriae — Блаженной памяти,товар доставляется перевозчику заказчика.,Квалитас,Beatae memoriae — Блаженной памяти,5,1,8.7.2011,23.7.2011,19,16,32
Двери входные бронированные,кг,9555,9478,9586,7547,1055,4,9,3,Beate vivere est honeste vivere — Жить счастливо - значит жить красиво,товар доставляется к кораблю заказчика.,Кожгалантерейное предприятие им. Августа Бебеля,Beate vivere est honeste vivere — Жить счастливо - значит жить красиво,6,2,5.7.2011,4.8.2011,20,3,27
Двери противопожарные,м,1800,855,871,1911,1781,3,6,1,Beati omnes esse volumus — все мы хотим быть счастливыми,товар со склада продавца.,Коммерческая группа Негоция,Beati omnes esse volumus — все мы хотим быть счастливыми,5,2,16.7.2011,7.8.2011,37,2,34
Двери входные из алюминиевых сплавов,км,8392,9489,5413,4610,7733,1,7,6,Beati pacifici — Блаженны миротворцы,товар доставляется перевозчику заказчика.,Компания Лена Баско,Beati pacifici — Блаженны миротворцы,6,2,5.7.2011,3.8.2011,36,7,29
Двери межкомнатные: деревянные из ПВХ,шт,9981,1061,1815,606,7526,5,6,2,Beati pauperes spiritu — Блаженны нищие духом,товар доставляется к кораблю заказчика.,Иваново,Beati pauperes spiritu — Блаженны нищие духом,5,1,29.6.2011,16.7.2011,2,30,39
Двери балконные: деревянные в алюминиевых конструкциях из ПВХ,л,9204,8862,9822,1200,2419,4,5,8,Bedti possidentes — Счастливы владеющие,товар погружается на корабль заказчика.,Конфлекс СПб,Bedti possidentes — Счастливы владеющие,5,3,6.7.2011,16.7.2011,40,39,31
Фурнитура,кг,234,5612,4239,8357,824,1,7,9,Beatitudo nоn est virtutis praemium sed ipsa virtus — Блаженство – не награда за добродетель а сама добродетель (Спиноза),товар доставляется до порта заказчика (без выгрузки).,Корпорация SELA,Beatitudo nоn est virtutis praemium sed ipsa virtus — Блаженство – не награда за добродетель а сама добродетель (Спиноза),5,2,26.6.2011,21.7.2011,8,12,26
Замки,м,5658,2215,3893,6665,1149,1,6,6,Beatus esse sine virtute nemo potest — Без добродетели никто не может быть счастлив,товар страхуется и доставляется до порта заказчика (без выгрузки).,Санкт-Петербург,Beatus esse sine virtute nemo potest — Без добродетели никто не может быть счастлив,6,2,6.7.2011,27.7.2011,31,31,26
Доводчики,км,5570,6765,8441,8103,736,3,9,3,Beatius est magis dare quam accipere — Счастлив тот кто больше дает чем получает,товар доставляется перевозчику заказчика в указанном месте назначения,Корсар,Beatius est magis dare quam accipere — Счастлив тот кто больше дает чем получает,5,1,29.6.2011,13.7.2011,11,5,18
Щебень из горных пород,шт,3137,5847,4927,3879,1810,2,2,4,Beatus ille qui procul negotiis — Блажен тот кто вдали от дел,товар страхуется и доставляется перевозчику заказчика в указанном месте назначения,Henri Lloyd,Beatus ille qui procul negotiis — Блажен тот кто вдали от дел,5,4,26.6.2011,21.7.2011,10,34,22
Керамзит,л,9437,1990,1284,6998,5132,1,9,4,Bella gerant alii Protesilaus amet — Войны пусть ведут другие Протезилай пусть любит,Поставка в месте назначения,Magnitov.net,Bella gerant alii Protesilaus amet — Войны пусть ведут другие Протезилай пусть любит,6,1,30.6.2011,27.7.2011,11,38,20
Вспученный перлит,кг,9245,6343,578,7724,6775,5,4,8,Bella gerant allii tu felix Austria nube; Nam quae Mars aliis dat tibi regna Venus — Войны пусть ведут другие а ты счастливая Австрия заключай браки ибо те владения которые другим дает Марс даст тебе Венера,Поставка на терминале. Экспортные платежи лежат на продавцеа импортные на покупателе.Терминал находится на границенужно указать название терминала.,Polyflor,Bella gerant allii tu felix Austria nube; Nam quae Mars aliis dat tibi regna Venus — Войны пусть ведут другие а ты счастливая Австрия заключай браки ибо те владения которые другим дает Марс даст тебе Венера,5,3,21.6.2011,6.7.2011,17,21,14
 Плитка керамическая для стен,м,8295,4174,9460,8945,7458,4,9,7,Bellum frigidum — холодная война,товар доставляется заказчику очищенный от пошлин и рисков,PromoVere,Bellum frigidum — холодная война,6,2,1.7.2011,31.7.2011,18,12,35
Плитка керамическая для пола,км,7343,4727,8834,2789,3083,1,9,7,Capiat qui сареrе potest — лови кто может поймать,товар со склада продавца.,Москва,Capiat qui сареrе potest — лови кто может поймать,5,2,8.7.2011,5.8.2011,15,25,16
Облицовочные керамические плиты,шт,5484,6143,1796,662,9451,4,7,10,Capienda rebus in malis praeceps via est — В беде следует принимать опасные решения,товар доставляется перевозчику заказчика.,Red Fox,Capienda rebus in malis praeceps via est — В беде следует принимать опасные решения,5,4,18.7.2011,6.8.2011,15,27,24
Мозаика,л,9492,4551,8259,8267,1131,5,7,7,Capita aut navim — Головы или корабль,товар доставляется к кораблю заказчика.,Санкт-Петербург,Capita aut navim — Головы или корабль,5,1,29.6.2011,26.7.2011,13,30,13
Каменные облицовочные плиты,кг,2091,5353,3259,3780,59,3,9,7,Caritas ex pax — Уважение и мир,товар со склада продавца.,Sportego,Caritas ex pax — Уважение и мир,6,4,12.7.2011,30.7.2011,3,11,16
Керамические блоки,м,7758,2518,8775,7662,6579,4,9,9,Саrре diem — лови день; пользуйся каждым днем; не откладывай на завтра то что должен сделать сегодня (Гораций),товар доставляется перевозчику заказчика.,Санкт-Петербург,Саrре diem — лови день; пользуйся каждым днем; не откладывай на завтра то что должен сделать сегодня (Гораций),5,2,23.6.2011,4.7.2011,19,3,6
Керамические пустотные вкладыши для перекрытий,км,6701,3340,8191,8318,4123,5,10,4,Castigare ridendo mores — смехом исправлять нравы,товар доставляется к кораблю заказчика.,WDMobile,Castigare ridendo mores — смехом исправлять нравы,6,1,2.7.2011,13.7.2011,33,24,18
Кирпич глиняный обыкновенный,шт,8975,8984,3449,545,4594,5,10,6,Castis omnia casta — Чистым (людям) все чисто,товар погружается на корабль заказчика.,Авторское ателье,Castis omnia casta — Чистым (людям) все чисто,5,1,5.7.2011,15.7.2011,18,3,20
Кирпич многопустотный,л,891,8484,1085,9898,5800,5,5,4,Casu — случайно,товар доставляется до порта заказчика (без выгрузки).,Ева,Casu — случайно,5,3,4.7.2011,27.7.2011,33,25,17
Кирпич облицовочный,кг,8769,1109,6816,8431,4006,2,9,2,Casus — случай,товар страхуется и доставляется до порта заказчика (без выгрузки).,Завод акустических конструкций,Casus — случай,5,2,9.7.2011,8.8.2011,1,9,10
Кирпич огнеупорный,м,8300,5324,1692,2627,5592,3,7,7,Casus belli — повод к войне к конфликту,товар доставляется перевозчику заказчика в указанном месте назначения,Завод резиновой обуви Треугольник,Casus belli — повод к войне к конфликту,5,4,9.7.2011,28.7.2011,7,26,17
Кирпич пористый эффективный,км,7181,7818,5822,346,1759,5,6,4,Cattus amat piscem sed non vult tingere plantam —,товар страхуется и доставляется перевозчику заказчика в указанном месте назначения,Здравый промысел,Cattus amat piscem sed non vult tingere plantam —,6,4,10.7.2011,2.8.2011,7,25,33
Кирпич силикатный,шт,1137,2455,5574,9971,9523,3,8,3,Causa causarum — Причина причин (главная причина),Поставка в месте назначения,Золотой жук,Causa causarum — Причина причин (главная причина),5,2,16.7.2011,13.8.2011,37,4,5
Кирпич цементно-песчаный,л,8320,6607,7249,9415,7042,2,8,2,Causa efficiens — Действующая причина,Поставка на терминале. Экспортные платежи лежат на продавцеа импортные на покупателе.Терминал находится на границенужно указать название терминала.,Ивспецпошив,Causa efficiens — Действующая причина,6,4,30.6.2011,21.7.2011,11,4,1
Клеящие мастики,кг,133,7302,7399,420,4831,4,9,10,Causa finita est — Вопрос решен,товар доставляется заказчику очищенный от пошлин и рисков,Иваново,Causa finita est — Вопрос решен,5,2,4.7.2011,28.7.2011,35,34,5
Клей для склейки бетона и газобетонных блоков,м,7918,5429,7492,6400,2878,2,3,5,Causa justa — Справедливая уважительная причина,товар со склада продавца.,Илим Гофра,Causa justa — Справедливая уважительная причина,6,2,11.7.2011,8.8.2011,35,5,37
Клеи для приклейки утеплителя и синтетической сетки,км,6073,1578,3274,5483,8394,4,5,9,Cautus enim metuit foveam lupus —,товар доставляется перевозчику заказчика.,Санкт-Петербург,Cautus enim metuit foveam lupus —,5,3,29.6.2011,28.7.2011,27,22,5
Клеи отверждающиеся термореактивные,шт,5483,6700,2928,2739,5680,3,8,3,Carthagenem esse delendam — карфаген должен быть разрушен,товар доставляется к кораблю заказчика.,Ильма,Carthagenem esse delendam — карфаген должен быть разрушен,6,3,24.6.2011,20.7.2011,30,31,10
Клеи на органических растворителях (синтетические полимерные),л,2974,9325,377,3855,6598,2,6,1,Causa causalis — причина причин главная причина,товар со склада продавца.,Имидж Веар,Causa causalis — причина причин главная причина,6,1,7.7.2011,1.8.2011,21,6,11
Клеи вододисперсионные (синтетические полимерные),кг,785,346,7771,9121,3897,1,5,6,De actu et visu — по опыту и наблюдениям,товар доставляется перевозчику заказчика.,Императорский фарфоровый завод,De actu et visu — по опыту и наблюдениям,5,3,19.7.2011,9.8.2011,13,33,25
Клеи натуральные,м,6326,2452,9111,4002,8760,3,8,2,Debes ergo potes — должен значит можешь,товар доставляется к кораблю заказчика.,ИП Капитонова Олеся Александровна,Debes ergo potes — должен значит можешь,5,3,24.6.2011,4.7.2011,18,28,32
Клей силикатный (жидкое стекло),км,1728,5571,3299,6578,3607,3,6,9,Debito tempore — в должное врeмя,товар погружается на корабль заказчика.,Санкт-Петербург,Debito tempore — в должное врeмя,6,3,9.7.2011,4.8.2011,4,12,4
Битум битумные мастики и эмульсии,шт,9635,1574,268,8000,167,2,8,4,De die in diem — изо дня в день,товар доставляется до порта заказчика (без выгрузки).,Исполать,De die in diem — изо дня в день,5,4,14.7.2011,10.8.2011,23,29,38
Водоотталкивающие силоксановые пропитки,л,2860,736,8941,5677,5448,2,1,4,De (ех) nihilo nihil — из ничего — ничто; ничто не возникает из ничего (Лукреций),товар страхуется и доставляется до порта заказчика (без выгрузки).,Квалитас,De (ех) nihilo nihil — из ничего — ничто; ничто не возникает из ничего (Лукреций),6,2,12.7.2011,31.7.2011,22,34,6
Олифа,кг,1743,8231,2101,8679,7882,4,2,4,De facto — фактически на деле,товар доставляется перевозчику заказчика в указанном месте назначения,Кожгалантерейное предприятие им. Августа Бебеля,De facto — фактически на деле,5,2,6.7.2011,25.7.2011,14,4,2
Очистители,м,5083,5456,9634,6633,6493,3,6,8,De gustibus et coloribus (non) est disputandum — о вкусах и цветах (не) спорят,товар страхуется и доставляется перевозчику заказчика в указанном месте назначения,Коммерческая группа Негоция,De gustibus et coloribus (non) est disputandum — о вкусах и цветах (не) спорят,6,1,14.7.2011,3.8.2011,21,14,37
Растворители,км,230,1789,6861,5406,1736,2,7,9,Dе jure — юридически по праву,Поставка в месте назначения,Компания Лена Баско,Dе jure — юридически по праву,6,1,26.6.2011,9.7.2011,17,4,11
Политура,шт,4551,3489,9200,1088,6912,5,10,7,De lana caprina — о пустяках (доcл.; о козьей шерсти),Поставка на терминале. Экспортные платежи лежат на продавцеа импортные на покупателе.Терминал находится на границенужно указать название терминала.,Иваново,De lana caprina — о пустяках (доcл.; о козьей шерсти),6,4,5.7.2011,1.8.2011,7,37,26
Морилка,л,7651,5472,9570,5091,7854,4,5,7,De lingua slulta incommoda multa — из-за пустых (глупых) слов бывают большие неприятности,товар доставляется заказчику очищенный от пошлин и рисков,Конфлекс СПб,De lingua slulta incommoda multa — из-за пустых (глупых) слов бывают большие неприятности,6,3,1.7.2011,29.7.2011,26,21,5
Колеры,кг,613,5781,8676,6380,1819,1,4,10,Demon est deus inversus зло — это добро наоборот,товар со склада продавца.,Корпорация SELA,Demon est deus inversus зло — это добро наоборот,5,3,20.7.2011,30.7.2011,5,18,22
Лаки мебельные,м,4320,8086,1703,7558,9741,3,9,7,De mortuis aut bene aut nihil — об умерших не злословить (досл.; о мертвых или хорошо или ничего),товар доставляется перевозчику заказчика.,Санкт-Петербург,De mortuis aut bene aut nihil — об умерших не злословить (досл.; о мертвых или хорошо или ничего),6,4,26.6.2011,16.7.2011,10,4,26
Лаки паркетные,км,9266,6063,9447,687,1886,3,3,6,De non apparentibus et non existentibus eadem est ratio — отношение к неявившимся и к несуществующим одинаково,товар доставляется к кораблю заказчика.,Корсар,De non apparentibus et non existentibus eadem est ratio — отношение к неявившимся и к несуществующим одинаково,6,1,5.7.2011,19.7.2011,18,15,20
Эмали,шт,5732,7214,2196,8528,5602,4,1,8,Desiderata — пожелания намерения,товар со склада продавца.,Henri Lloyd,Desiderata — пожелания намерения,5,2,26.6.2011,25.7.2011,6,3,33
Краски масляные,л,7412,6522,2928,8345,6772,1,8,6,Des partem leonis — отдай львиную долю,товар доставляется перевозчику заказчика.,Magnitov.net,Des partem leonis — отдай львиную долю,6,1,20.7.2011,4.8.2011,31,34,39
Краски водоэмульсионные,кг,8544,9173,5187,9033,9595,1,5,2,Detur digniori — да будет дано достойнейшему,товар доставляется к кораблю заказчика.,Polyflor,Detur digniori — да будет дано достойнейшему,6,3,26.6.2011,20.7.2011,15,33,11
Фасадные краски стеновые цокольные,м,8886,3195,5816,5067,7328,2,1,10,Edimus ut vivamus; nоn vivimus ut edamus — мы едим чтобы жить но не живем чтобы есть,товар погружается на корабль заказчика.,PromoVere,Edimus ut vivamus; nоn vivimus ut edamus — мы едим чтобы жить но не живем чтобы есть,5,2,13.7.2011,23.7.2011,34,8,5
Лаки водно-дисперсионные,км,581,7058,8747,8991,7065,3,8,10,Е fructu arbor cognoscitur — по плоду узнается дерево (яблоко от яблони недалеко падает),товар доставляется до порта заказчика (без выгрузки).,Москва,Е fructu arbor cognoscitur — по плоду узнается дерево (яблоко от яблони недалеко падает),5,2,15.7.2011,2.8.2011,12,39,13
Лаки полиуретановые,шт,2233,3221,5747,3859,5126,4,9,8,Ego te intus et in cute novi — знаю тебя и под кожей и снаружи (вижу тебя насквозь),товар страхуется и доставляется до порта заказчика (без выгрузки).,Red Fox,Ego te intus et in cute novi — знаю тебя и под кожей и снаружи (вижу тебя насквозь),5,2,14.7.2011,11.8.2011,22,7,17
Огнезащитные краски,л,3255,6115,8145,9947,8443,4,9,2,Elephantum ех musca facis — делаешь из мухи слона,товар доставляется перевозчику заказчика в указанном месте назначения,Санкт-Петербург,Elephantum ех musca facis — делаешь из мухи слона,5,1,19.7.2011,11.8.2011,7,17,5
Гвозди,кг,5179,2694,9302,9125,3528,2,10,9,Ео ipso — вследствие этого тем самым,товар страхуется и доставляется перевозчику заказчика в указанном месте назначения,Sportego,Ео ipso — вследствие этого тем самым,6,2,17.7.2011,11.8.2011,31,31,11
Шурупы,м,4134,5482,3344,3255,1623,1,10,1,Epistula nоn erubescit — бумага не краснеет бумага все терпит (Цицерон),Поставка в месте назначения,Санкт-Петербург,Epistula nоn erubescit — бумага не краснеет бумага все терпит (Цицерон),6,4,21.7.2011,9.8.2011,31,3,11
Болты - тайки - шайбы,км,7421,2873,2109,7378,6777,5,10,9,Errare humanum est- человеку свойственно ошибаться,Поставка на терминале. Экспортные платежи лежат на продавцеа импортные на покупателе.Терминал находится на границенужно указать название терминала.,WDMobile,Errare humanum est- человеку свойственно ошибаться,5,3,6.7.2011,3.8.2011,22,25,4
Дюбели,шт,4572,943,2922,5908,272,4,1,4,Errata — ошибки опечатки,товар доставляется заказчику очищенный от пошлин и рисков,Авторское ателье,Errata — ошибки опечатки,6,3,16.7.2011,7.8.2011,20,3,32
Листовые материалы,л,6322,163,2652,9155,4993,1,9,10,Esse quam videri — быть а не казаться,товар со склада продавца.,Ева,Esse quam videri — быть а не казаться,5,3,14.7.2011,5.8.2011,1,21,26
Рулонные материалы,кг,4245,4964,901,5345,5814,4,1,7,Est modus in rebus — всему есть предел; все имеет свою меру (Гораций),товар доставляется перевозчику заказчика.,Завод акустических конструкций,Est modus in rebus — всему есть предел; все имеет свою меру (Гораций),6,2,24.6.2011,8.7.2011,25,35,32
Черепица,м,2981,7327,5098,2361,9633,5,6,2,Est rerum omnium magister usus — опыт — всему учитель (Цезарь),товар доставляется к кораблю заказчика.,Завод резиновой обуви Треугольник,Est rerum omnium magister usus — опыт — всему учитель (Цезарь),6,3,24.6.2011,15.7.2011,8,1,14
Мембраны полимерные и резиновые,км,6069,7580,5650,4572,6421,5,10,8,Et cetera (etc.) — и так далее и прочее,товар со склада продавца.,Здравый промысел,Et cetera (etc.) — и так далее и прочее,5,1,21.6.2011,9.7.2011,39,30,33
Мастика для заклейки рулонных кровель,шт,7144,1341,2119,6105,6243,1,1,5,Et gaudium et solatium in litteris — и радость и утешение в науках(Плиний),товар доставляется перевозчику заказчика.,Золотой жук,Et gaudium et solatium in litteris — и радость и утешение в науках(Плиний),6,1,26.6.2011,13.7.2011,8,38,33
Мастика для жидких кровель,л,13,356,5252,8212,4401,5,7,9,Et singula praeduntur anni — и годы берут свое,товар доставляется к кораблю заказчика.,Ивспецпошив,Et singula praeduntur anni — и годы берут свое,5,3,23.6.2011,23.7.2011,24,37,26
Деревянные лестницы,кг,5291,5543,35,6494,5232,3,6,10,Ех abrupto — без предисловий без приготовлений сразу внезапно,товар погружается на корабль заказчика.,Иваново,Ех abrupto — без предисловий без приготовлений сразу внезапно,6,1,16.7.2011,26.7.2011,28,2,20
Клееный брус и балка,м,9677,6106,9032,2853,4278,1,8,8,Ех adverso — доказательство от противного,товар доставляется до порта заказчика (без выгрузки).,Илим Гофра,Ех adverso — доказательство от противного,5,1,10.7.2011,3.8.2011,36,38,27
Срубы,км,9379,3347,560,928,1157,5,6,2,Faber est suae quisque furtunae (Sallustius) — каждый сам кузнец своей судьбы,товар страхуется и доставляется до порта заказчика (без выгрузки).,Санкт-Петербург,Faber est suae quisque furtunae (Sallustius) — каждый сам кузнец своей судьбы,5,4,23.6.2011,7.7.2011,23,38,22
Раскладки уголки галтели валики плинтусы,шт,956,1461,2201,6303,7735,3,10,4,Fabri soli de suis artibus iudicent — только мастер может судить о своем ремесле,товар доставляется перевозчику заказчика в указанном месте назначения,Ильма,Fabri soli de suis artibus iudicent — только мастер может судить о своем ремесле,6,1,18.7.2011,9.8.2011,23,29,9
Фанера ДВП ДСП ДИП мебельные щиты прочее,л,8752,7947,5196,8322,7183,5,7,2,Fac et spera — твори и надейся!,товар страхуется и доставляется перевозчику заказчика в указанном месте назначения,Имидж Веар,Fac et spera — твори и надейся!,5,3,16.7.2011,28.7.2011,33,38,38
Шпон столярные изделия,кг,4184,5884,583,6337,4886,3,7,9,Fac fideli sis fidelis — будь верен тому кто верен (тебе),Поставка в месте назначения,Императорский фарфоровый завод,Fac fideli sis fidelis — будь верен тому кто верен (тебе),6,4,4.7.2011,20.7.2011,13,20,32
Вагонка,м,2159,7720,5391,8797,5859,2,5,8,Faciant meliora potentes — пусть сделает лучше кто может,Поставка на терминале. Экспортные платежи лежат на продавцеа импортные на покупателе.Терминал находится на границенужно указать название терминала.,ИП Капитонова Олеся Александровна,Faciant meliora potentes — пусть сделает лучше кто может,6,4,3.7.2011,2.8.2011,6,28,17
Доска (обрезная необрезная) брус брусок горбыль шпалы,км,5581,4727,1516,3004,2402,2,7,4,Facile aliis ignoscet qui sua vitia noverit — охотно прощает других тот кто знает свои недостатки,товар доставляется заказчику очищенный от пошлин и рисков,Санкт-Петербург,Facile aliis ignoscet qui sua vitia noverit — охотно прощает других тот кто знает свои недостатки,6,4,20.7.2011,11.8.2011,19,9,27
Круглый лес (бревна),шт,2860,1650,2581,8311,551,5,5,8,Facile dictu difficile factu — легко сказать трудно сделать,товар со склада продавца.,Исполать,Facile dictu difficile factu — легко сказать трудно сделать,6,4,15.7.2011,9.8.2011,9,14,34
Внутреняя отделка бань и саун,л,844,9207,1902,4420,920,3,3,10,Facile ex amico inimicum facies cui promissa non reddas — легко из друга сделаешь врага когда обещенное не выполняешь (не отдаешь),товар доставляется перевозчику заказчика.,Квалитас,Facile ex amico inimicum facies cui promissa non reddas — легко из друга сделаешь врага когда обещенное не выполняешь (не отдаешь),6,4,27.6.2011,24.7.2011,17,38,38
Деревянные лестницы,кг,7178,6093,5122,9367,140,4,1,4,Facile omnes cum valemus recta consilia aegrotis damus (Terentius) — когда мы здоровы то легко даем больным хорошие советы (Теренций),товар доставляется к кораблю заказчика.,Кожгалантерейное предприятие им. Августа Бебеля,Facile omnes cum valemus recta consilia aegrotis damus (Terentius) — когда мы здоровы то легко даем больным хорошие советы (Теренций),6,2,28.6.2011,23.7.2011,11,22,13
Клееный брус и балка,м,3440,6390,3544,4554,1337,3,6,4,Facilitate nil esse homini melius neque clementia (Terentius) - нет у человека способности лучше чем мягкосердечие,товар со склада продавца.,Коммерческая группа Негоция,Facilitate nil esse homini melius neque clementia (Terentius) - нет у человека способности лучше чем мягкосердечие,5,4,28.6.2011,16.7.2011,28,16,9
